,match_id,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,home_team_player_6,home_team_player_7,home_team_player_8,home_team_player_9,home_team_player_10,home_team_player_11,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5,away_team_player_6,away_team_player_7,away_team_player_8,away_team_player_9,away_team_player_10,away_team_player_11,stadium_name,weather,temperature,humidity
20,476,GK 古川 昌明 1,DF 賀谷 英司 3,DF 大野 俊三 5,DF 奥野 僚右 4,DF 秋田 豊 2,MF 本田 泰人 6,MF サントス 8,MF 石井 正忠 10,MF 黒崎 比差支 9,FW 長谷川 祥之 11,FW アルシンド 7,GK シジマール 1,DF 堀池 巧 4,DF 内藤 直樹 2,DF 山田 泰寛 6,DF ロナウド 3,MF 三浦 泰年 5,MF 太田 貴光 11,MF 澤登 正朗 10,MF トニーニョ 8,FW 長谷川 健太 9,FW 永島 昭浩 7,県立カシマサッカースタジアム,雨,10.0,74%
21,479,GK 森 敦彦 1,DF 岩井 厚裕 4,DF 大嶽 直人 2,DF 薩川 了洋 3,DF モネール 6,MF 高田 昌明 8,MF エドゥー 10,MF 山口 素弘 5,MF 桂 秀樹 11,MF 前園 真聖 7,FW 前田 治 9,GK ﾊｰﾌﾅｰ・ﾃﾞｨﾄﾞ 1,DF 小杉 敏之 4,DF 藤川 久孝 3,DF 小川 誠一 2,DF 森 直樹 5,MF 中西 哲生 8,MF ジョルジーニョ 7,MF 後藤 太郎 11,MF 津島 三敏 6,MF エリベウトン 9,FW 森山 泰行 10,横浜市三ツ沢総合公園球技場,雨,9.0,80%
22,480,GK 小島 伸幸 1,DF 渡辺 卓 3,DF 名塚 善寛 6,DF 名良橋 晃 2,DF 岩本 輝雄 4,MF 反町 康治 9,MF エジソン 8,MF ベッチーニョ 10,MF 松山 広敦 5,FW 野口 幸司 11,FW アウミール 7,GK 下川 健一 1,DF 山本 健二 3,DF 宮澤 ミッシェル 5,DF 五十嵐 和也 4,DF 木澤 正徳 2,MF 後藤 義一 8,MF フランタ 6,MF 江尻 篤彦 7,MF リトバルスキー 10,FW オッツェ 11,FW 城 彰二 9,平塚競技場,雨,9.0,78%
23,478,GK 菊池 新吉 1,DF 石川 康 2,DF ペレイラ 3,DF 河本 充弘 6,MF 柱谷 哲二 5,MF ラモス 瑠偉 10,MF 北澤 豪 8,MF ビスマルク 7,MF 加藤 善之 4,FW 武田 修宏 9,FW 三浦 知良 11,GK 松永 成立 1,DF 平川 弘 2,DF 井原 正巳 4,DF 小泉 淳嗣 5,DF 永山 邦夫 3,MF 水沼 貴史 8,MF 野田 知 7,MF 山田 隆裕 10,MF ディアス 9,MF サパタ 6,FW メディナベージョ 11,国立霞ヶ丘競技場,雨,8.0,84%
24,483,GK 松永 成立 1,DF 平川 弘 2,DF 井原 正巳 4,DF 小泉 淳嗣 5,DF 永山 邦夫 3,MF 水沼 貴史 8,MF 野田 知 7,MF 山田 隆裕 10,MF サパタ 6,FW ディアス 9,FW メディナベージョ 11,GK 森下 申一 1,DF パウス 3,DF 東川 昌典 5,DF 伊達 倫央 4,DF 遠藤 昌浩 2,MF 古俣 健次 6,MF 吉田 裕幸 8,MF 古賀 琢磨 7,MF ファネンブルグ 10,FW 中山 雅史 9,FW 鈴木 将方 11,横浜市三ツ沢総合公園球技場,曇,13.0,26%
25,482,GK 下川 健一 1,DF 山本 健二 3,DF 宮澤 ミッシェル 5,DF 五十嵐 和也 4,DF 木澤 正徳 2,MF 後藤 義一 8,MF フランタ 6,MF 江尻 篤彦 7,MF 中西 永輔 9,MF リトバルスキー 10,FW オッツェ 11,GK 古川 昌明 1,DF 賀谷 英司 4,DF 大場 賢治 3,DF 大野 俊三 5,DF 秋田 豊 2,MF 本田 泰人 6,MF サントス 8,MF 石井 正忠 10,MF 黒崎 比差支 9,FW 長谷川 祥之 11,FW アルシンド 7,国立霞ヶ丘競技場,晴,13.0,21%
26,484,GK ﾊｰﾌﾅｰ・ﾃﾞｨﾄﾞ 1,DF 小杉 敏之 4,DF 藤川 久孝 3,DF 小川 誠一 2,DF 森 直樹 5,MF 中西 哲生 8,MF 米倉 誠 9,MF ジョルジーニョ 7,MF 津島 三敏 6,MF エリベウトン 11,FW 森山 泰行 10,GK 土田 尚史 1,DF 本吉 剛 3,DF 堀 孝史 2,DF チョウ キジェ 4,DF 杉山 弘一 5,MF ウエハラ 8,MF 福田 正博 9,MF 保坂 信之 7,MF 岡島 清延 6,MF ルンメニゲ 10,FW 水内 猛 11,名古屋市瑞穂球技場,曇のち晴,10.0,32%
27,485,GK 前川 和也 1,DF 佐藤 康之 2,DF 柳本 啓成 3,DF 片野坂 知宏 5,DF 森山 佳郎 4,MF 風間 八宏 8,MF 森保 一 7,MF 盧 廷潤 9,MF ハシェック 6,FW 島 卓視 11,FW 高木 琢也 10,GK 小島 伸幸 1,DF 公文 裕明 5,DF 名塚 善寛 6,DF 名良橋 晃 2,DF 渡辺 卓 3,MF 反町 康治 9,MF ベッチーニョ 10,MF エジソン 8,MF 岩本 輝雄 4,FW 野口 幸司 11,FW アウミール 7,広島ビッグアーチ,晴時々雪,7.0,38%
28,486,GK 本並 健治 1,DF 辛島 啓珠 4,DF 島田 貴裕 3,DF 今藤 幸治 2,DF 石井 壮二郎 5,MF 礒貝 洋光 10,MF 見田 雅之 6,MF 松山 吉之 8,MF アレイニコフ 7,FW 山口 敏弘 9,FW プロタソフ 11,GK 森 敦彦 1,DF 岩井 厚裕 4,DF 大嶽 直人 2,DF 薩川 了洋 3,DF モネール 6,MF 高田 昌明 8,MF エドゥー 10,MF 山口 素弘 5,MF 桂 秀樹 11,MF 前園 真聖 7,FW 前田 治 9,万博記念競技場,曇,7.0,45%
29,487,GK シジマール 1,DF 堀池 巧 4,DF 内藤 直樹 2,DF 山田 泰寛 6,DF ロナウド 3,MF 澤登 正朗 10,MF トニーニョ 8,MF 三浦 泰年 5,FW 向島 建 11,FW 長谷川 健太 9,FW 永島 昭浩 7,GK 菊池 新吉 1,DF 石川 康 2,DF ペレイラ 3,DF 河本 充弘 6,DF パウロ 4,MF 柱谷 哲二 5,MF ラモス 瑠偉 10,MF 北澤 豪 8,MF ビスマルク 7,FW 武田 修宏 9,FW 三浦 知良 11,静岡県営草薙陸上競技場,晴,8.0,20%
30,488,GK 森下 申一 1,DF 東川 昌典 5,DF 伊達 倫央 4,DF 遠藤 昌浩 2,DF パウス 3,MF 古俣 健次 6,MF 古賀 琢磨 7,MF ファネンブルグ 10,MF 吉田 裕幸 8,FW 中山 雅史 9,FW 鈴木 将方 11,GK 森 敦彦 1,DF 岩井 厚裕 4,DF 大嶽 直人 2,DF 薩川 了洋 3,DF モネール 6,MF 高田 昌明 8,MF エドゥー 10,MF 山口 素弘 5,MF 前園 真聖 7,FW 前田 治 9,FW アマリージャ 11,ジュビロ磐田サッカースタジアム,晴,22.0,39%
31,490,GK 土田 尚史 1,DF 堀 孝史 2,DF 田口 禎則 3,DF チョウ キジェ 4,DF 杉山 弘一 5,MF 福田 正博 9,MF 柱谷 幸一 6,MF 保坂 信之 7,MF ルンメニゲ 10,MF 岡野 雅行 8,FW 水内 猛 11,GK 本並 健治 1,DF 辛島 啓珠 4,DF 島田 貴裕 3,DF 今藤 幸治 2,DF 石井 壮二郎 6,MF 礒貝 洋光 10,MF 見田 雅之 7,MF 松山 吉之 8,MF フラビオ 5,FW 山口 敏弘 9,FW プロタソフ 11,浦和市駒場スタジアム,晴時々曇,22.0,31%
32,491,GK 菊池 新吉 1,DF 石川 康 2,DF ペレイラ 3,DF 河本 充弘 4,MF ラモス 瑠偉 10,MF 永井 秀樹 6,MF 北澤 豪 8,MF ビスマルク 7,MF 柱谷 哲二 5,FW 武田 修宏 9,FW 三浦 知良 11,GK 下川 健一 1,DF 山本 健二 3,DF 宮澤 ミッシェル 5,DF 五十嵐 和也 4,DF 木澤 正徳 2,MF 後藤 義一 8,MF フランタ 6,MF 江尻 篤彦 7,MF 中西 永輔 9,MF リトバルスキー 10,FW オッツェ 11,博多の森陸上競技場,晴,20.0,44%
33,489,GK 古川 昌明 1,DF 賀谷 英司 4,DF 大場 賢治 3,DF 大野 俊三 5,DF 秋田 豊 2,MF 本田 泰人 6,MF サントス 8,MF 石井 正忠 10,MF 黒崎 比差支 9,FW 長谷川 祥之 11,FW アルシンド 7,GK 前川 和也 1,DF 佐藤 康之 2,DF 柳本 啓成 3,DF 片野坂 知宏 5,DF 森山 佳郎 4,MF 風間 八宏 8,MF 森保 一 7,MF 盧 廷潤 9,MF チェルニー 11,FW 島 卓視 6,FW 高木 琢也 10,県立カシマサッカースタジアム,曇時々晴,20.0,64%
34,492,GK 小島 伸幸 1,DF 名塚 善寛 6,DF 名良橋 晃 2,DF 岩本 輝雄 4,DF 渡辺 卓 3,MF 反町 康治 8,MF ベッチーニョ 10,MF 信藤 健仁 5,FW 野口 幸司 11,FW ミランジーニャ 9,FW アウミール 7,GK ﾊｰﾌﾅｰ・ﾃﾞｨﾄﾞ 1,DF 小杉 敏之 4,DF 藤川 久孝 3,DF 小川 誠一 2,DF 森 直樹 5,MF 中西 哲生 8,MF 米倉 誠 9,MF ジョルジーニョ 7,MF 津島 三敏 6,MF エリベウトン 11,FW 森山 泰行 10,国立霞ヶ丘競技場,晴,21.0,40%
35,493,GK 松永 成立 1,DF 平川 弘 2,DF 井原 正巳 4,DF 小泉 淳嗣 5,DF 永山 邦夫 3,MF 野田 知 7,MF 山田 隆裕 10,MF 松橋 力蔵 6,MF 三浦 文丈 8,FW ディアス 9,FW メディナベージョ 11,GK シジマール 1,DF 堀池 巧 4,DF 内藤 直樹 2,DF 山田 泰寛 6,DF ロナウド 3,MF 三浦 泰年 5,MF トニーニョ 8,MF 太田 貴光 10,FW 向島 建 11,FW 長谷川 健太 9,FW 永島 昭浩 7,横浜市三ツ沢総合公園球技場,晴,18.0,68%
